source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"15-inch Diameter Sanitary Sewer, by pipe augering with 24? Casing","15""",Unspecified,Cased Crossing,LF,18.0,950.0,950.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"24-inch diameter gravity sanitary sewer, microtunneling and pipe jacked tunnels, FRP Pipe","24""",Fiberglass,Tunnel,LF,0.0,900.0,900.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"24-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing","24""",Steel,Tunnel,LF,0.0,2100.0,2100.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"24-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing in PPCA","24""",Steel,Tunnel,LF,0.0,2000.0,2000.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"24-inch Diameter Sanitary Sewer by Piping Augering with Casing, 42 in","24""",Unspecified,Cased Crossing,LF,38.0,1200.0,1200.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"24-inch Diameter gravity sanitary sewer, by open cut","24""",Unspecified,Open Cut,LF,125.0,300.0,300.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"24-inch diameter sanitary sewer, by pipe augering with 42"" Casing (Sheets C-23 & C-35)","24""",Unspecified,Cased Crossing,LF,70.0,1000.0,1000.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"24-inch diameter sanitary sewer in 42-inch casing, microtunneling & pipe jacked tunnels (IH-610 Crossing)","24""",Unspecified,Tunnel,LF,355.0,1800.0,1800.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"28-inch diameter gravity sanitary sewer, microtunneling and pipe jacked tunnels, FRP Pipe","28""",Fiberglass,Tunnel,LF,10324.0,900.0,900.0,,,,
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"28-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing","28""",Steel,Tunnel,LF,538.0,2100.0,2100.0,,,,
