source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,12-inch diameter water line by trenchless construction,"12""",Unspecified,Open Cut,LF,4858.0,200.0,200.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,12-inch diameter water line in PPCA limits,"12""",Unspecified,Open Cut,LF,285.0,400.0,400.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"12-inch diameter 150psi sanitary sewer, by open cut","12""",Unspecified,Open Cut,LF,18.0,250.0,250.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,15-Inch Diameter Sanitary Sewer by Open-Cut,"15""",Unspecified,Open Cut,LF,42.0,175.0,175.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"15-Inch Diameter Sanitary Sewer, By Micro-tunneling or Jack And Bore/ Jack And Mine/ Pilot Tube Guided Boring Tunnels","15""",Unspecified,Tunnel,LF,1192.0,1119.0,1119.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"15-Inch Diameter Sanitary Sewer, By Micro-tunneling or Jack And Bore/ Jack And Mine/ Pilot Tube Guided Boring Tunnels in PPCA","15""",Unspecified,Tunnel,LF,200.0,1174.0,1174.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"15-Inch Diameter Sanitary Sewer, by Open Cut","15""",Unspecified,Open Cut,LF,1577.0,362.0,362.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"15-inch Diameter Sanitary Sewer, by pipe augering with 24? Casing","15""",Unspecified,Cased Crossing,LF,18.0,950.0,950.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,15-inch Sanitary Sewer,"15""",Unspecified,Open Cut,LF,50.0,250.0,250.0,300.0,180.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,15-inch Sanitary Sewer (Pressure Rated),"15""",Unspecified,Open Cut,LF,18.0,480.0,480.0,350.0,180.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,15-inch Sanitary Sewer,"15""",Unspecified,Open Cut,LF,50.0,250.0,250.0,300.0,180.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,15-inch Sanitary Sewer (Pressure Rated),"15""",Unspecified,Open Cut,LF,18.0,480.0,480.0,350.0,180.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,16-inch diameter water line by trenchless construction,"16""",Unspecified,Open Cut,LF,83.0,330.0,330.0,250.0,250.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,16-inch diameter water line by trenchless construction,"16""",Unspecified,Open Cut,LF,83.0,330.0,330.0,250.0,250.0,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"18-inch diameter RCP roadside ditch culvert (Class IV) by open cut (All depths, with or without ring gate)","18""",RCP,Open Cut,LF,301.0,80.0,80.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,"18-inch diameter RCP roadside ditch culvert (Class IV) by open cut (All depths, with or without ring gate)","18""",RCP,Open Cut,LF,301.0,80.0,80.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,1-1/2-inch diameter Copper water line within limits of PPCA,"2""",Copper,Open Cut,LF,190.0,45.0,45.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,2-inch diameter Copper water line with restrained joints within limits of PPCA,"2""",Copper,Open Cut,LF,60.0,60.0,60.0,50.0,180.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,2-inch diameter Copper water line with restrained joints within limits of PPCA,"2""",Copper,Open Cut,LF,60.0,60.0,60.0,50.0,180.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,1-1/2-inch diameter Copper water line within limits of PPCA,"2""",Copper,Open Cut,LF,190.0,45.0,45.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,20-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"20""",Ductile Iron,Open Cut,LF,457.0,395.0,395.0,330.0,350.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,20-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"20""",Ductile Iron,Open Cut,LF,457.0,395.0,395.0,330.0,350.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,20-inch diameter water line by trenchless construction with restrained joints,"20""",Unspecified,Open Cut,LF,415.0,395.0,395.0,300.0,300.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,20-inch diameter water line by trenchless construction with restrained joints,"20""",Unspecified,Open Cut,LF,415.0,395.0,395.0,300.0,300.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"24-inch diameter DIP sanitary sewer, by open-cut","24""",Ductile Iron,Open Cut,LF,58.0,675.0,675.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,24-inch diameter DIP water line by open-cut,"24""",Ductile Iron,Open Cut,LF,200.0,640.0,640.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,24-inch diameter DIP water line by open-cut,"24""",Ductile Iron,Open Cut,LF,200.0,640.0,640.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"24-inch diameter DIP sanitary sewer, by open-cut","24""",Ductile Iron,Open Cut,LF,58.0,675.0,675.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch diameter gravity sanitary sewer, microtunneling and pipe jacked tunnels, FRP Pipe","24""",Fiberglass,Tunnel,LF,0.0,900.0,900.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"24-inch diameter RCP roadside ditch culvert (Class IV) by open cut (All depths, with or without ring gate)","24""",RCP,Open Cut,LF,176.0,90.0,90.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,"24-inch diameter RCP roadside ditch culvert (Class IV) by open cut (All depths, with or without ring gate)","24""",RCP,Open Cut,LF,176.0,90.0,90.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter Sanitary Sewer, in Tunnel, Force Main Installed in 42-inch Steel Casing","24""",Steel,Tunnel,LF,3642.0,1900.0,1900.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing","24""",Steel,Tunnel,LF,0.0,2100.0,2100.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing in PPCA","24""",Steel,Tunnel,LF,0.0,2000.0,2000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter gravity sanitary sewer, by open cut","24""",Unspecified,Open Cut,LF,125.0,300.0,300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter Sanitary Force Main, by Open Cut","24""",Unspecified,Open Cut,LF,63.0,400.0,400.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"24-inch Diameter Sanitary Sewer by Piping Augering with Casing, 42 in","24""",Unspecified,Cased Crossing,LF,38.0,1200.0,1200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,24-Inch Diameter Sanitary Sewer Force Main by Open-Cut,"24""",Unspecified,Open Cut,LF,4056.0,295.0,295.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,24-inch Diameter Sanitary Sewer Force Main Relocation By Open Cut,"24""",Unspecified,Open Cut,LF,80.0,452.64,452.64,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"24-inch diameter sanitary sewer in 42-inch casing, microtunneling & pipe jacked tunnels (IH-610 Crossing)","24""",Unspecified,Tunnel,LF,355.0,1800.0,1800.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"24-inch diameter sanitary sewer, by pipe augering with 42"" Casing (Sheets C-23 & C-35)","24""",Unspecified,Cased Crossing,LF,70.0,1000.0,1000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"24-inch diameter sanitary sewer, by open-cut","24""",Unspecified,Open Cut,LF,117.0,650.0,650.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,24-inch diameter water line by open-cut,"24""",Unspecified,Open Cut,LF,289.0,522.0,522.0,400.0,350.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,24-inch diameter water line by open-cut within limits of PPCA,"24""",Unspecified,Open Cut,LF,244.0,522.0,522.0,450.0,460.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,24-inch diameter water line by open-cut,"24""",Unspecified,Open Cut,LF,289.0,522.0,522.0,400.0,350.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,24-inch diameter water line by open-cut within limits of PPCA,"24""",Unspecified,Open Cut,LF,244.0,522.0,522.0,450.0,460.0,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"24-inch diameter sanitary sewer, by open-cut","24""",Unspecified,Open Cut,LF,117.0,650.0,650.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"28-inch diameter gravity sanitary sewer, microtunneling and pipe jacked tunnels, FRP Pipe","28""",Fiberglass,Tunnel,LF,10324.0,900.0,900.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"28-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing","28""",Steel,Tunnel,LF,538.0,2100.0,2100.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"28-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing in PPCA","28""",Steel,Tunnel,LF,300.0,2000.0,2000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,3-inch diameter Copper water line with restrained joints within limits of PPCA,"3""",Copper,Open Cut,LF,22.0,65.0,65.0,50.0,230.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,3-inch diameter Copper water line with restrained joints within limits of PPCA,"3""",Copper,Open Cut,LF,22.0,65.0,65.0,50.0,230.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"30-inch diameter DIP sanitary sewer, by open-cut","30""",Ductile Iron,Open Cut,LF,22.0,1200.0,1200.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"30-inch diameter DIP sanitary sewer, by open-cut","30""",Ductile Iron,Open Cut,LF,22.0,1200.0,1200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,30-Inch Diameter Sanitary Sewer by Open-Cut,"30""",Unspecified,Open Cut,LF,1183.0,380.0,380.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,30-Inch Diameter Sanitary Sewer Force Main by Open-Cut,"30""",Unspecified,Open Cut,LF,6111.0,330.0,330.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"30-inch diameter sanitary sewer in 54-inch casing, microtunneling & pipe jacked tunnels (Bintliff & Beechnut)","30""",Unspecified,Tunnel,LF,368.0,2000.0,2000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"30-inch diameter sanitary sewer, by pipe augering with 54"" casing (Sheets C-61, C-71, C-77)","30""",Unspecified,Cased Crossing,LF,262.0,1500.0,1500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"30-inch diameter sanitary sewer, in tunnel (54? casing) (Fulton Street Crossing)","30""",Unspecified,Tunnel,LF,89.0,1300.0,1300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"30-inch diameter sanitary sewer, microtunneling & pipe-jacked tunnels","30""",Unspecified,Tunnel,LF,2180.0,1000.0,1000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"30-inch diameter sewer, by pipe augering with 42? casing (Robertson Street)","30""",Unspecified,Cased Crossing,LF,16.0,1500.0,1500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Procure and install 30-inch by 19-inch arch pipe,"30""",Unspecified,Open Cut,LF,72.0,519.79,519.79,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Procure and install 30-inch by 19-inch arch pipe,"30""",Unspecified,Open Cut,LF,72.0,519.79,519.79,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"36-inch diameter DIP (Class 52) gravity sanitary sewer with restraint joint, by open cut construction, all depths","36""",Ductile Iron,Open Cut,LF,25.0,1200.0,1200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"36-inch diameter DIP (Class 52) sanitary sewer force main with restraint joint, by open cut construction, all depths","36""",Ductile Iron,Open Cut,LF,450.0,1300.0,1300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"36-inch diameter DIP (Class 52) sanitary sewer force main with restraint joint, by trenchless construction, all depths","36""",Ductile Iron,Open Cut,LF,150.0,2000.0,2000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"36-inch diameter FRP pipe (PN 150 psi, SN 46 psi) sanitary sewer force main with restraint joint axial concrete encasement, by open cut construction, all depths","36""",Fiberglass,Open Cut,LF,900.0,1250.0,1250.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"36-inch diameter FRP pipe (PN 150 psi, SN 46 psi) sanitary sewer force main, by open cut construction, all depths","36""",Fiberglass,Open Cut,LF,8750.0,490.0,490.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"36-inch diameter sanitary sewer, by open-cut","36""",Unspecified,Open Cut,LF,30.0,6500.0,6500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,"36-inch diameter sanitary sewer, by pipe augering with casing (Gravity sewer Beechnut & Fondren)","36""",Unspecified,Cased Crossing,LF,75.0,1500.0,1500.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"36-inch diameter sanitary sewer, by open-cut","36""",Unspecified,Open Cut,LF,30.0,6500.0,6500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,3/4-inch Diameter Water Line By Open Cut (Copper),"4""",Copper,Open Cut,LF,90.0,62.0,62.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,4-inch diameter DIP water line by trenchless construction with restrained joints,"4""",Ductile Iron,Open Cut,LF,75.0,225.0,225.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,4-inch diameter DIP water line by trenchless construction with restrained joints,"4""",Ductile Iron,Open Cut,LF,75.0,225.0,225.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,4-inch diameter water line by Open-cut,"4""",Unspecified,Open Cut,LF,12.0,85.0,85.0,80.0,200.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,4-inch diameter water line by trenchless construction with restrained joints,"4""",Unspecified,Open Cut,LF,10.0,220.0,220.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,4-inch Sanitary Sewer (Pressure Rated),"4""",Unspecified,Open Cut,LF,46.0,165.0,165.0,75.0,30.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,4-inch diameter water line by Open-cut,"4""",Unspecified,Open Cut,LF,12.0,85.0,85.0,80.0,200.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,4-inch Sanitary Sewer (Pressure Rated),"4""",Unspecified,Open Cut,LF,46.0,165.0,165.0,75.0,30.0,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,4-inch diameter water line by trenchless construction with restrained joints,"4""",Unspecified,Open Cut,LF,10.0,220.0,220.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"42-inch diameter FRP pipe (PN 150 psi, SN 340 ton) sanitary sewer force main, by trenchless construction, all depths","42""",Fiberglass,Open Cut,LF,875.0,1200.0,1200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,48-inch diameter steel water line by open-cut,"48""",Steel,Open Cut,LF,167.0,1600.0,1600.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,48-inch diameter steel water line by open-cut,"48""",Steel,Open Cut,LF,167.0,1600.0,1600.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,54-inch Diameter Steel Water Line by open cut,"54""",Steel,Open Cut,LF,168.0,1514.22,1514.22,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,54-inch Diameter Steel Water Line by open cut within limits of  PPCA,"54""",Steel,Open Cut,LF,75.0,1596.44,1596.44,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,54-inch Diameter Steel Water Line by open cut,"54""",Steel,Open Cut,LF,168.0,1514.22,1514.22,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,54-inch Diameter Steel Water Line by open cut within limits of  PPCA,"54""",Steel,Open Cut,LF,75.0,1596.44,1596.44,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"6-inch diameter DIP sanitary sewer, by open-cut","6""",Ductile Iron,Open Cut,LF,25.0,170.0,170.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,6-inch diameter DIP water line by trenchless construction with restrained joints,"6""",Ductile Iron,Open Cut,LF,95.0,230.0,230.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,6-inch diameter DIP water line by trenchless construction with restrained joints,"6""",Ductile Iron,Open Cut,LF,95.0,230.0,230.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"6-inch diameter DIP sanitary sewer, by open-cut","6""",Ductile Iron,Open Cut,LF,25.0,170.0,170.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"6-inch diameter 150psi sanitary sewer, by open cut","6""",Unspecified,Open Cut,LF,150.0,80.0,80.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"6-inch diameter sanitary sewer, by open-cut","6""",Unspecified,Open Cut,LF,1150.0,130.0,130.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,6-inch diameter water line by trenchless construction,"6""",Unspecified,Open Cut,LF,55.0,250.0,250.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"6-inch diameter sanitary sewer (service line), by open cut","6""",Unspecified,Open Cut,LF,505.0,100.0,100.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated)","6""",Unspecified,Open Cut,LF,61.0,126.78,126.78,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","6""",Unspecified,Open Cut,LF,160.0,143.78,143.78,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,6-inch diameter water line by Open-cut with restrained joints,"6""",Unspecified,Open Cut,LF,121.0,95.0,95.0,100.0,200.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,6-inch Sanitary Sewer (Pressure Rated),"6""",Unspecified,Open Cut,LF,108.0,170.0,170.0,100.0,90.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,6-inch diameter water line by Open-cut with restrained joints,"6""",Unspecified,Open Cut,LF,121.0,95.0,95.0,100.0,200.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,6-inch Sanitary Sewer (Pressure Rated),"6""",Unspecified,Open Cut,LF,108.0,170.0,170.0,100.0,90.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated)","6""",Unspecified,Open Cut,LF,61.0,126.78,126.78,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","6""",Unspecified,Open Cut,LF,160.0,143.78,143.78,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,6-inch diameter water line by trenchless construction,"6""",Unspecified,Open Cut,LF,55.0,250.0,250.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"6-inch diameter sanitary sewer, by open-cut","6""",Unspecified,Open Cut,LF,1150.0,130.0,130.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"6-inch diameter 150psi sanitary sewer, by open cut","6""",Unspecified,Open Cut,LF,150.0,80.0,80.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"6-inch diameter sanitary sewer (service line), by open cut","6""",Unspecified,Open Cut,LF,505.0,100.0,100.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install 60-Inch Carrier Pipe in a Tunnel With Primary Liner, Including Tunnel Shafts, Restrained Joints, and Appurtenances, Complete in Place","60""",Unspecified,Tunnel,LF,3151.0,3325.0,3325.0,3000.0,3350.0,5900.0,5900.0
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install 60-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","60""",Unspecified,Open Cut,LF,6359.0,650.0,650.0,861.0,725.0,950.0,1173.0
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install Extra 60-Inch Water Line Fitting, All Angles, Complete in Place","60""",Unspecified,Open Cut,EA,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install 60-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","60""",Unspecified,Open Cut,LF,6359.0,650.0,650.0,861.0,725.0,950.0,1173.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install 60-Inch Carrier Pipe in a Tunnel With Primary Liner, Including Tunnel Shafts, Restrained Joints, and Appurtenances, Complete in Place","60""",Unspecified,Tunnel,LF,3151.0,3325.0,3325.0,3000.0,3350.0,5900.0,5900.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install Extra 60-Inch Water Line Fitting, All Angles, Complete in Place","60""",Unspecified,Open Cut,EA,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,66-inch by 48-inch steel tee fitting and adapters installation price adjustment for -24hr operation,"66""",Steel,Open Cut,LS,1.0,86963.43,86963.43,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut,"66""",Steel,Open Cut,LF,833.0,1160.56,1160.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut with epoxy/ polyurethane lining,"66""",Steel,Open Cut,LF,177.0,2291.89,2291.89,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut within limits of PPCA,"66""",Steel,Open Cut,LF,51.0,1108.0,1108.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,66-inch diameter steel water line by open-cut,"66""",Steel,Open Cut,LF,32.0,5300.0,5300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel  with Steel Liner,"66""",Steel,Tunnel,LF,480.0,7515.56,7515.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel with epoxy/ polyurethane lining,"66""",Steel,Tunnel,LF,375.0,8131.56,8131.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut,"66""",Steel,Open Cut,LF,833.0,1160.56,1160.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut within limits of PPCA,"66""",Steel,Open Cut,LF,51.0,1108.0,1108.0,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut with epoxy/ polyurethane lining,"66""",Steel,Open Cut,LF,177.0,2291.89,2291.89,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel with epoxy/ polyurethane lining,"66""",Steel,Tunnel,LF,375.0,8131.56,8131.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel  with Steel Liner,"66""",Steel,Tunnel,LF,480.0,7515.56,7515.56,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,66-inch diameter steel water line by open-cut,"66""",Steel,Open Cut,LF,32.0,5300.0,5300.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,66-inch by 48-inch steel tee fitting and adapters installation price adjustment for -24hr operation,"66""",Steel,Open Cut,LS,1.0,86963.43,86963.43,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut,"66""",Unspecified,Open Cut,LF,3330.0,1053.11,1053.11,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut within limits of  PPCA,"66""",Unspecified,Open Cut,LF,426.0,1122.67,1122.67,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut,"66""",Unspecified,Open Cut,LF,3330.0,1053.11,1053.11,,,,
